Tue Apr 25 2023 23:32:53 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Tue Apr 25 2023 23:32:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Tue Apr 25 2023 23:32:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Tue Apr 25 2023 23:32:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Tue Apr 25 2023 23:32:53 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Tue Apr 25 2023 23:45:59 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Tue Apr 25 2023 23:45:59 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Tue Apr 25 2023 23:45:59 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Tue Apr 25 2023 23:45:59 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Tue Apr 25 2023 23:45:59 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Tue Apr 25 2023 23:45:59 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
Tue Apr 25 2023 23:58:20 GMT-0300 (Horário Padrão de Brasília), GET, /, undefined 
Tue Apr 25 2023 23:58:20 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui.css, undefined 
Tue Apr 25 2023 23:58:20 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-bundle.js, undefined 
Tue Apr 25 2023 23:58:20 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-standalone-preset.js, undefined 
Tue Apr 25 2023 23:58:20 GMT-0300 (Horário Padrão de Brasília), GET, /swagger-ui-init.js, undefined 
Tue Apr 25 2023 23:58:20 GMT-0300 (Horário Padrão de Brasília), GET, /favicon-32x32.png, undefined 
